student_id,name,branch,semester,subject,marks,attendance,exam_date
107,Vikram,BT,1,OS,68,80,2025-12-22
108,Manish,CE,6,Maths,82,89,2026-03-20
109,Aakash,EEE,5,WEBT,72,83,2026-03-15
110,Karan,ECE,4,DSA,91,100,2026-02-23
111,Saurabh,CSE DS,4,OS,62,82,2026-02-13
112,Arjun,ECE,4,CD,78,78,2026-01-22
113,Maya,IT,3,UHV,50,62,2026-01-22
114,Kriti,BT,2,WEBT,55,96,2026-03-18
115,Anushka,CE,5,OS,37,64,2026-01-15
116,Shivani,EEE,1,DL,69,67,2026-02-14
117,Pooja,ELCE,5,OS,66,74,2026-01-30
118,Aakash,ELCE,1,DAA,63,73,2026-02-19
119,Arjun,EEE,1,AI,60,83,2026-02-12
120,Saurabh,ME,8,UHV,20,81,2025-12-27
121,Nisha,CSE,8,CD,89,100,2026-02-24
122,Manish,EE,2,OS,85,95,2026-03-07
123,Karan,EEE,4,DAA,23,76,2026-03-12
124,Saurabh,CSE DS,5,WEBT,75,86,2026-01-16
125,Shivani,CE,5,DBMS,67,77,2026-03-21
126,Rahul,CE,6,CD,21,85,2026-01-12
127,Yash,ECE,7,DL,50,99,2026-03-01
128,Ashish,EE,3,ML,80,97,2026-02-26
129,Aniket,ECE,8,DBMS,33,84,2026-02-12
130,Ananya,ELCE,1,Maths,48,99,2026-03-03
131,Manish,CE,1,DL,52,88,2026-01-04
132,Raghavendra,CSE,6,CN,53,62,2026-02-24
133,Pallavi,ELCE,5,CD,70,89,2025-12-22
134,Yash,IT,4,DSA,92,89,2026-02-02
135,Kriti,CSE DS,2,OS,44,71,2026-01-04
136,Maya,CSE,3,OS,44,70,2026-02-12
137,Kavya,AE,1,UHV,49,72,2026-01-13
138,Ananya,ELCE,5,Maths,99,62,2026-01-13
139,Yash,EE,5,DBMS,69,90,2025-12-26
140,Ashish,CSE DS,8,DBMS,49,100,2026-03-08
141,Sneha,ECE,7,Maths,69,81,2026-01-18
142,Raghav,AE,5,DL,29,91,2025-12-21
143,Nisha,ECE,1,CN,45,73,2026-01-12
144,Sonal,CSEAI,3,DAA,43,73,2026-03-22
145,Satyam,EEE,3,DSA,55,69,2026-02-06
146,Aniket,EEE,4,WEBT,33,69,2026-03-07
147,Rahul,CSE,2,DAA,23,96,2026-01-11
148,Satyam,CHE,7,WEBT,24,87,2026-03-08
149,Sonal,EEE,6,ML,93,83,2025-12-19
150,Manish,ECE,6,DL,38,63,2026-01-24
151,Sneha,ECE,2,WEBT,98,84,2026-03-23
152,Aakash,CHE,8,Maths,87,75,2025-12-23
153,Yash,CSE DS,6,UHV,64,93,2026-02-14
154,Anjali,ELCE,1,Maths,43,99,2026-01-09
155,Shivani,ELCE,2,DBMS,80,69,2026-02-12
156,Manish,EE,7,OS,36,82,2026-01-09
157,Shivani,EEE,3,DAA,90,69,2026-02-21
158,Rishi,ELCE,6,DSA,36,62,2026-03-24
159,Aniket,ELCE,6,OS,59,89,2026-01-21
160,Isha,IT,5,DAA,77,73,2026-01-10
161,Saurabh,CSE AIML,7,DAA,70,87,2026-02-10
162,Aniket,ELCE,1,CN,84,93,2026-03-14
163,Saurabh,AE,5,OS,76,79,2026-01-08
164,Shreya,CSEAI,3,CN,95,62,2026-02-02
165,Rishi,ME,1,Maths,39,97,2026-02-14
166,Pallavi,CSE,5,WEBT,58,85,2026-03-26
167,Rahul,EEE,7,OS,66,80,2026-02-21
168,Anushka,ME,5,UHV,86,87,2026-03-19
169,Raghavendra,AE,7,ML,55,75,2026-03-10
170,Shivani,EE,7,ML,95,60,2026-03-21
171,Neha,ECE,7,DSA,91,75,2026-03-06
172,Shreya,EE,7,DBMS,24,100,2026-01-09
173,Ashish,CE,2,WEBT,65,61,2025-12-23
174,Yash,CE,2,ML,92,62,2026-03-22
175,Sneha,CSE AIML,7,OS,44,77,2026-02-03
176,Aman,CSEAI,5,ML,37,86,2026-02-24
177,Anushka,EEE,3,CD,60,96,2026-02-26
178,Karan,EEE,7,DL,95,71,2025-12-30
179,Pallavi,CSE,3,Maths,98,68,2026-03-28
180,Nisha,CSE AIML,2,DAA,73,74,2026-03-27
181,Manish,CSE,7,CD,75,97,2026-03-01
182,Karan,CE,6,UHV,98,88,2026-01-16
183,Raghavendra,ME,4,UHV,30,83,2026-02-14
184,Yash,ECE,6,DAA,36,99,2026-02-17
185,Vikram,CSE,7,AI,73,91,2025-12-21
186,Vikram,EE,8,CN,51,99,2026-02-01
187,Nisha,CHE,7,DBMS,28,94,2026-01-04
188,Pallavi,IT,1,OS,56,68,2026-03-23
189,Pooja,CE,2,CD,25,94,2026-01-09
190,Yash,EEE,2,DAA,33,90,2026-02-16
191,Amit,CE,2,DL,82,69,2026-03-04
192,Aakash,CE,4,ML,45,87,2026-02-26
193,Yash,IT,8,OS,51,83,2026-03-19
194,Shreya,CE,6,UHV,55,61,2026-01-18
195,Karan,CSE DS,3,DBMS,100,85,2026-03-13
196,Shivani,IT,5,AI,75,82,2025-12-20
197,Satyam,IT,5,Maths,28,63,2026-01-01
198,Anushka,ECE,4,Maths,98,60,2026-03-06
199,Manish,EEE,3,Maths,67,72,2025-12-27
200,Nisha,ECE,3,CN,24,61,2026-03-11
201,Shivani,CE,3,WEBT,99,78,2026-03-24
202,Sonal,CSE AIML,1,OS,91,91,2026-02-04
203,Riya,ELCE,4,Maths,83,78,2026-03-16
204,Sonal,BT,5,DAA,66,98,2026-03-10
205,Karan,ECE,7,DL,41,95,2026-03-03
206,Nisha,CSE DS,1,DBMS,56,83,2026-02-09
207,Arjun,ME,7,OS,50,65,2026-03-21
208,Ashish,CSEAI,5,ML,43,61,2026-01-23
209,Aniket,CSE DS,5,DL,56,77,2026-02-14
210,Maya,EEE,7,ML,89,89,2026-02-20
211,Anushka,EE,7,ML,29,95,2025-12-25
212,Vivek,CSE,5,DBMS,23,72,2026-01-14
213,Saurabh,CSE DS,2,OS,43,100,2025-12-20
214,Saurabh,AE,3,OS,22,89,2026-03-08
215,Ashish,CHE,6,WEBT,45,71,2026-03-10
216,Riya,BT,4,OS,36,95,2026-01-22
217,Kavya,AE,1,DL,49,79,2026-01-25
218,Rishi,ECE,6,DAA,26,75,2026-01-23
219,Shreya,EEE,7,OS,49,69,2026-03-07
220,Kriti,CSEAI,3,DBMS,41,93,2026-02-27
221,Vivek,ELCE,2,DSA,82,98,2026-03-06
222,Vivek,CSE AIML,8,DAA,49,82,2026-03-27
223,Nisha,ECE,4,AI,85,82,2026-01-16
224,Maya,ELCE,8,DSA,62,62,2026-03-15
225,Shreya,ELCE,7,CD,89,97,2026-02-12
226,Kavya,IT,4,ML,57,62,2026-03-17
227,Riya,CHE,6,CD,29,76,2026-01-18
228,Sanya,ME,1,OS,31,82,2026-03-13
229,Satyam,EE,5,ML,59,69,2026-01-05
230,Karan,ELCE,2,ML,62,65,2026-03-29
231,Priya,CE,4,CD,99,66,2026-02-02
232,Ashish,ECE,2,OS,76,93,2026-03-28
233,Manish,ELCE,8,DAA,60,96,2026-03-07
234,Yash,IT,4,DAA,30,74,2025-12-19
235,Pallavi,ECE,8,Maths,75,71,2026-01-14
236,Maya,BT,6,DL,46,91,2026-03-16
237,Saurabh,CSE,8,OS,91,80,2026-03-09
238,Nisha,CSEAI,4,DL,53,65,2026-01-30
239,Kriti,CSEAI,1,AI,90,90,2026-02-13
240,Kriti,ECE,6,DAA,71,85,2026-01-22
241,Rohit,CHE,3,ML,50,77,2026-01-21
242,Anjali,ME,8,UHV,33,65,2025-12-19
243,Ananya,CSE DS,5,Maths,23,85,2026-02-03
244,Pallavi,ME,6,OS,92,73,2026-03-13
245,Rishi,CSE AIML,3,CD,61,60,2026-01-12
246,Amit,CSE DS,7,OS,33,78,2026-02-19
247,Siddharth,AE,2,WEBT,71,70,2026-02-12
248,Rishi,BT,5,Maths,23,60,2026-03-27
249,Manish,EEE,6,DBMS,27,61,2026-03-28
250,Yash,BT,8,DL,59,97,2026-03-09
251,Rishi,CE,5,OS,57,95,2026-03-15
252,Yash,ME,8,DAA,21,66,2026-01-01
253,Yash,EEE,7,DAA,43,70,2025-12-26
254,Divya,CSE,1,OS,27,72,2026-01-14
255,Sonal,CSE AIML,3,DL,83,80,2026-03-20
256,Vikram,BT,8,DAA,91,88,2026-03-20
257,Anjali,ME,5,ML,90,77,2026-01-26
258,Priya,CSE,8,DSA,30,63,2026-03-01
259,Rishi,EE,4,Maths,94,76,2026-01-26
260,Vikram,CSE AIML,4,WEBT,38,90,2026-03-16
261,Shivani,EEE,2,ML,92,100,2026-02-18
262,Shreya,CSE AIML,1,DSA,29,63,2026-02-27
263,Riya,ECE,7,WEBT,29,93,2026-03-19
264,Karan,CHE,4,CD,21,97,2026-01-16
265,Pallavi,CSE AIML,4,DSA,72,85,2026-01-15
266,Aditya,CSE AIML,6,DSA,96,100,2025-12-25
267,Nisha,EE,2,DSA,89,86,2025-12-30
268,Nisha,EEE,4,OS,77,88,2026-01-11
269,Saurabh,CSEAI,6,OS,96,70,2026-01-23
270,Manish,EEE,8,UHV,54,65,2025-12-30
271,Aman,ELCE,5,OS,64,87,2026-01-21
272,Nisha,CHE,3,DAA,39,80,2026-01-19
273,Isha,BT,8,DSA,53,65,2025-12-25
274,Maya,CSE,8,DSA,83,100,2026-01-24
275,Vivek,ECE,8,OS,93,79,2026-02-18
276,Kriti,ME,1,DSA,67,62,2026-02-19
277,Manish,AE,6,DBMS,62,76,2026-02-09
278,Shivani,CSE AIML,8,CD,47,93,2026-03-22
279,Isha,IT,8,DL,52,60,2026-03-21
280,Priya,EEE,2,OS,66,90,2026-03-26
281,Amit,CE,1,WEBT,78,71,2026-03-02
282,Siddharth,EEE,7,OS,75,72,2026-01-18
283,Aniket,EE,6,Maths,54,67,2026-02-06
284,Anjali,ME,4,OS,21,70,2026-02-02
285,Riya,CSE DS,5,DSA,54,73,2026-02-16
286,Nisha,ELCE,8,DBMS,41,86,2026-02-23
287,Satyam,AE,7,DAA,34,80,2025-12-27
288,Aakash,CE,1,DBMS,41,96,2026-02-18
289,Satyam,CSE DS,5,CD,62,86,2026-03-24
290,Manish,EEE,4,AI,27,97,2026-02-22
291,Neha,CE,4,Maths,66,90,2026-03-05
292,Aarav,IT,6,DSA,79,75,2026-02-14
293,Sonal,BT,7,OS,56,85,2026-03-27
294,Satyam,EEE,6,DL,20,81,2026-01-20
295,Kavya,CHE,3,Maths,68,63,2025-12-21
296,Shreya,ME,7,OS,45,79,2026-03-17
297,Kavya,EEE,1,CD,81,74,2025-12-27
298,Nisha,AE,7,DAA,71,97,2026-01-16
299,Vivek,IT,3,WEBT,93,85,2026-01-24
300,Kavya,ECE,4,DL,98,84,2026-03-13
301,Amit,CSE DS,1,DAA,93,69,2026-03-06
302,Maya,CHE,4,UHV,97,94,2026-01-30
303,Kriti,ME,7,OS,95,89,2026-01-28
304,Yash,CHE,7,ML,62,96,2026-01-10
305,Satyam,CHE,8,Maths,95,93,2026-01-28
306,Rishi,CSE,8,DAA,61,86,2026-03-13
307,Shreya,CHE,8,DSA,52,82,2026-02-25
308,Saurabh,CSE DS,6,WEBT,26,98,2025-12-22
309,Anjali,ELCE,3,DAA,36,97,2026-01-07
310,Anjali,CHE,2,DSA,86,65,2026-01-28
311,Ashish,ECE,2,DL,53,75,2026-01-10
312,Isha,ME,1,ML,53,71,2026-02-17
313,Siddharth,ELCE,3,CN,22,95,2026-03-29
314,Anushka,EE,4,DL,32,94,2026-03-11
315,Anjali,CSEAI,2,WEBT,27,76,2026-01-22
316,Sanya,CE,2,CN,61,93,2026-02-21
317,Riya,IT,3,CN,29,64,2025-12-19
318,Amit,IT,4,WEBT,51,93,2026-03-10
319,Yash,CSEAI,7,CD,60,60,2026-02-26
320,Divya,ME,7,OS,44,72,2026-02-22
321,Anjali,BT,4,CD,78,64,2026-02-04
322,Aarav,ME,2,OS,92,63,2026-03-01
323,Aditya,ME,4,DBMS,75,77,2025-12-30
324,Sonal,AE,8,AI,98,93,2026-03-14
325,Nisha,CSE AIML,6,DSA,86,73,2026-01-19
326,Saurabh,EE,4,DL,100,92,2026-01-18
327,Aakash,ME,4,DL,80,86,2026-03-24
328,Vikram,CE,6,DAA,62,89,2026-02-25
329,Shreya,EE,6,Maths,44,76,2025-12-27
330,Arjun,CHE,7,ML,77,69,2026-02-14
331,Yash,CSE DS,5,DL,26,71,2026-03-09
332,Vivek,BT,1,DL,40,85,2026-03-04
333,Shivani,EE,8,DBMS,46,60,2026-03-25
334,Rohit,EEE,4,WEBT,39,81,2026-01-17
335,Shreya,EEE,2,UHV,68,84,2026-02-19
336,Anjali,CSE,3,DL,94,86,2026-01-30
337,Aniket,IT,1,WEBT,62,76,2026-01-08
338,Karan,IT,7,DL,74,64,2026-02-24
339,Divya,CHE,6,OS,50,77,2026-01-13
340,Manish,ME,3,DAA,60,83,2026-02-04
341,Rahul,CSE DS,1,CD,61,83,2026-02-22
342,Ashish,CE,4,OS,96,99,2026-03-24
343,Amit,ECE,3,OS,32,77,2026-02-25
344,Yash,CSE DS,6,UHV,99,97,2026-01-12
345,Vikram,ECE,2,ML,29,79,2025-12-26
346,Anjali,BT,5,CD,64,93,2026-01-29
347,Yash,CSE,5,DSA,78,69,2026-01-03
348,Maya,ELCE,5,CN,47,87,2026-01-04
349,Shivani,CSE DS,3,AI,63,60,2026-01-08
350,Amit,ME,2,DSA,65,79,2025-12-23
351,Karan,CSE AIML,8,ML,72,81,2026-03-10
352,Pooja,ECE,3,ML,98,86,2026-01-28
353,Aniket,ELCE,6,DAA,66,62,2026-01-21
354,Ananya,BT,5,AI,61,87,2026-01-11
355,Shivani,BT,3,CN,33,66,2026-01-05
356,Neha,CSE AIML,2,OS,30,96,2026-01-18
357,Rohit,IT,6,DSA,85,92,2026-01-24
358,Raghavendra,CSE DS,6,Maths,58,99,2026-03-26
359,Aarav,EEE,7,OS,99,89,2026-03-26
360,Rishi,AE,7,Maths,44,76,2026-01-25
361,Karan,AE,8,ML,25,81,2026-01-02
362,Anushka,CSE,3,OS,61,69,2026-01-09
363,Arjun,BT,1,OS,45,71,2026-03-15
364,Siddharth,CE,1,CN,75,64,2026-01-14
365,Rahul,CSE DS,4,UHV,84,84,2026-03-27
366,Pallavi,EEE,4,OS,99,63,2025-12-21
367,Satyam,EEE,5,Maths,72,69,2026-01-18
368,Karan,BT,4,WEBT,45,87,2026-01-02
369,Rishi,CSEAI,7,CN,78,81,2026-03-23
370,Saurabh,CSE AIML,1,WEBT,96,67,2025-12-21
371,Amit,ELCE,8,WEBT,72,65,2026-01-23
372,Siddharth,CHE,5,OS,23,96,2026-02-24
373,Sanya,CSE AIML,5,DSA,41,71,2026-03-27
374,Maya,CE,3,CN,46,76,2026-02-07
375,Kavya,CHE,8,DAA,89,92,2026-02-02
376,Karan,CSE AIML,4,OS,59,88,2026-03-24
377,Ananya,CSE AIML,5,UHV,23,95,2026-03-08
378,Pooja,ME,1,DL,35,81,2026-03-03
379,Vivek,AE,1,DBMS,30,100,2025-12-31
380,Pooja,EEE,7,OS,25,92,2026-03-07
381,Nisha,CSE AIML,1,Maths,84,98,2026-02-16
382,Kriti,ME,6,CD,34,63,2026-02-14
383,Sonal,CSEAI,7,DL,50,84,2026-03-21
384,Sanya,EE,6,Maths,89,72,2026-01-19
385,Isha,IT,2,Maths,34,97,2025-12-22
386,Aarav,IT,7,OS,84,86,2026-02-08
387,Kriti,EEE,5,ML,80,61,2026-02-07
388,Arjun,ME,4,ML,22,79,2026-02-22
389,Karan,CSEAI,1,DSA,23,86,2026-01-16
390,Pooja,CSE DS,4,ML,31,88,2026-01-19
391,Isha,CSE,7,CD,38,79,2026-02-01
392,Karan,CSE,7,DSA,91,85,2026-02-24
393,Vivek,EEE,3,DL,56,87,2026-01-15
394,Sonal,ECE,5,Maths,36,93,2026-02-23
395,Ashish,ELCE,5,UHV,99,81,2026-01-26
396,Anushka,CSE DS,6,CD,86,68,2026-03-29
397,Isha,ME,4,CD,91,74,2026-02-05
398,Pooja,CSE DS,7,WEBT,97,90,2026-02-15
399,Neha,IT,7,Maths,60,62,2026-01-29
400,Neha,ECE,3,DL,49,94,2026-01-30
401,Aniket,IT,7,OS,62,94,2026-03-13
402,Anushka,EEE,7,DBMS,51,85,2026-02-18
403,Isha,IT,8,ML,55,73,2026-01-03
404,Vikram,BT,1,CD,60,85,2025-12-24
405,Shivani,IT,6,UHV,28,75,2026-03-10
406,Sneha,CSE,5,OS,61,77,2026-02-20
407,Anjali,CSE AIML,8,WEBT,41,77,2026-02-15
408,Arjun,CSE,6,DBMS,28,63,2026-01-07
409,Riya,AE,5,WEBT,89,94,2025-12-21
410,Nisha,ECE,6,UHV,69,93,2026-01-20
411,Kriti,CE,4,WEBT,69,65,2026-02-21
412,Vivek,CSE DS,6,ML,28,90,2025-12-19
413,Aarav,IT,4,UHV,23,63,2025-12-19
414,Aditya,IT,3,Maths,96,80,2026-01-28
415,Aakash,EEE,6,OS,42,72,2025-12-21
416,Shivani,CSE AIML,1,WEBT,57,64,2026-02-11
417,Raghavendra,IT,1,OS,74,86,2026-02-26
418,Kavya,EE,8,DAA,36,84,2025-12-22
419,Shivani,CE,4,DSA,70,85,2026-01-28
420,Karan,CSE,5,CN,78,70,2026-03-12
421,Pallavi,ECE,6,WEBT,54,93,2026-02-24
422,Isha,CSEAI,2,OS,78,63,2026-01-06
423,Vikram,CSE DS,8,ML,44,76,2026-01-05
424,Priya,ME,3,AI,97,94,2026-03-15
425,Anushka,CSE DS,8,DSA,40,93,2026-02-22
426,Amit,ME,4,CD,72,78,2026-03-08
427,Karan,CE,1,DL,54,94,2026-01-29
428,Anushka,ME,7,DSA,68,60,2026-03-22
429,Divya,EE,3,Maths,87,84,2025-12-22
430,Karan,CSE DS,5,CN,80,67,2026-01-10
431,Raghavendra,ME,1,OS,32,61,2026-02-14
432,Rishi,EEE,8,OS,56,60,2026-03-13
433,Divya,CSE DS,6,DAA,71,77,2026-02-19
434,Shivani,CE,5,AI,29,95,2026-03-18
435,Ashish,ELCE,2,CD,73,85,2026-01-21
436,Yash,AE,4,UHV,64,68,2026-03-19
437,Ashish,CE,5,ML,97,68,2026-02-06
438,Maya,AE,6,ML,56,74,2025-12-22
439,Ashish,ME,7,OS,98,90,2026-01-13
440,Sonal,CSEAI,3,AI,47,69,2026-01-18
441,Kriti,ECE,4,UHV,69,61,2026-03-06
442,Rishi,CSE DS,8,CD,80,93,2026-02-27
443,Satyam,EEE,3,DBMS,24,90,2026-01-16
444,Sonal,EEE,6,DL,50,60,2026-01-13
445,Pallavi,AE,6,Maths,26,74,2026-01-27
446,Saurabh,CHE,2,DBMS,25,75,2026-01-18
447,Siddharth,CSEAI,3,ML,39,69,2026-02-22
448,Satyam,AE,3,DBMS,41,73,2026-02-10
449,Kavya,EEE,2,WEBT,76,76,2025-12-28
450,Aniket,ECE,2,WEBT,99,91,2026-02-20
451,Kavya,IT,7,AI,47,88,2026-03-09
452,Vivek,ELCE,4,OS,20,97,2025-12-23
453,Shreya,EEE,6,CN,81,76,2026-03-21
454,Shivani,CSEAI,1,OS,98,93,2026-01-10
455,Pallavi,EE,6,AI,54,63,2025-12-24
456,Pooja,CSE DS,5,Maths,30,71,2025-12-28
457,Aniket,CSE DS,8,DBMS,93,66,2026-03-05
458,Isha,CSEAI,2,WEBT,77,90,2026-03-27
459,Anjali,ME,5,OS,30,93,2026-01-11
460,Aakash,ME,3,ML,89,100,2026-01-16
461,Satyam,ME,5,DBMS,31,84,2026-03-21
462,Aarav,EEE,2,WEBT,60,89,2026-01-22
463,Manish,CHE,4,DBMS,67,75,2026-03-27
464,Pooja,CSE DS,1,DBMS,24,98,2025-12-20
465,Nisha,AE,1,UHV,26,80,2026-03-08
466,Kriti,ELCE,3,CD,94,94,2026-02-21
467,Satyam,ECE,2,AI,67,69,2026-01-09
468,Aniket,CHE,7,DBMS,47,75,2026-03-11
469,Riya,CSE DS,8,WEBT,52,74,2026-02-21
470,Anjali,ME,5,DL,26,79,2026-03-19
471,Pallavi,CHE,8,AI,58,92,2026-03-09
472,Aakash,CSE DS,6,DSA,59,68,2026-03-27
473,Satyam,CSE,2,Maths,27,88,2026-03-10
474,Maya,CSEAI,1,DSA,65,100,2026-01-25
475,Pallavi,ME,8,ML,66,77,2026-01-21
476,Kavya,CSE,4,Maths,58,93,2026-03-06
477,Riya,CSEAI,7,OS,76,65,2026-03-26
478,Shreya,BT,6,CN,51,93,2026-01-25
479,Isha,CSEAI,7,OS,30,61,2026-01-15
480,Shivani,EE,1,CN,59,86,2026-03-28
481,Anushka,AE,4,DL,88,93,2026-02-02
482,Anushka,IT,3,DSA,70,70,2026-03-23
483,Rishi,CSE,6,CD,70,84,2026-01-25
484,Karan,EE,7,CD,100,91,2026-03-12
485,Amit,CSE AIML,1,CN,60,87,2026-01-26
486,Kriti,CSE AIML,2,AI,84,76,2026-02-06
487,Pooja,CSE,6,DL,80,90,2026-02-05
488,Yash,ME,6,CD,89,61,2026-01-18
489,Divya,ME,5,WEBT,73,97,2026-03-08
490,Kriti,EE,3,UHV,81,85,2026-02-16
491,Pallavi,IT,5,AI,68,95,2026-02-18
492,Sonal,EE,3,AI,25,64,2026-01-25
493,Pallavi,CSEAI,6,CN,28,84,2026-02-04
494,Ashish,ELCE,1,DAA,35,66,2026-03-11
495,Shreya,ME,7,DBMS,33,74,2026-01-21
496,Vikram,ME,4,UHV,29,85,2026-03-29
497,Aakash,EE,5,DSA,55,90,2026-03-14
498,Raghav,AE,6,DAA,49,74,2026-03-10
499,Riya,CSE DS,4,OS,63,94,2026-01-08
500,Anjali,ELCE,6,Maths,75,64,2026-02-08
501,Aarav,EEE,5,DSA,34,92,2026-01-10
502,Aarav,EEE,2,DSA,48,70,2026-02-19
503,Isha,CE,6,OS,35,76,2026-03-12
504,Yash,CSE DS,8,OS,90,63,2026-03-29
